app.cash.treehouse	treehouse-display	0.1.0		2b42fd2ebfa6e064523d6f463e67dca61c32eb77
br.com.objectos.way	io	0.2.0		9d3939e8d2dda1c8d17ac041c1bf0eed03bca631
br.com.objectos.way	io	0.2.1		7e27f8868ce55b4374ea8c204e46f137b94cf769
br.com.objectos.way	io	0.2.2		c1d4215a504b6148fbdc85a032a8c15064838777
br.com.objectos.way	io	0.3.0		N/A
br.com.objectos.way	io	0.3.1		N/A
ch.ergon.adam	oracle	1.2.0		38e99e8e63db3ec4f24a10c7e42f2da557125d0d
ch.ergon.adam	oracle	1.2.1		70738aa3425dabe1bcfd5d0b16d64e26987baaf9
ch.ergon.adam	oracle	1.2.2		bce294de5268b684801e5ce59fef70b67a9a2e77
ch.ergon.adam	oracle	1.3.0		798433f34fd724f532677f592652842cbff77fff
ch.ergon.adam	oracle	1.3.1		3e0ef554e3f873ba784273039cb55440fc812ca9
ch.ergon.adam	oracle	1.3.2		f34e2da8c7527f7d5406a7163c09e7b3a5a97586
co.cask.tephra	tephra-distribution	0.3.0		N/A
co.cask.tephra	tephra-distribution	0.3.1		N/A
co.cask.tephra	tephra-distribution	0.3.2		N/A
co.cask.tephra	tephra-distribution	0.3.3		N/A
co.cask.tephra	tephra-distribution	0.3.4		N/A
co.cask.tephra	tephra-distribution	0.4.0		N/A
co.cask.tephra	tephra-distribution	0.4.1		N/A
co.cask.tephra	tephra-distribution	0.4.2		N/A
co.cask.tephra	tephra-distribution	0.4.4		N/A
co.cask.tephra	tephra-distribution	0.5.0		N/A
co.cask.tephra	tephra-distribution	0.6.0		N/A
co.cask.tephra	tephra-distribution	0.6.1		N/A
co.cask.tephra	tephra-distribution	0.6.2		N/A
co.cask.tephra	tephra-distribution	0.6.3		N/A
co.cask.tephra	tephra-distribution	0.6.4		N/A
co.cask.tephra	tephra-distribution	0.6.5		N/A
co.cask.tephra	tephra-distribution	0.7.0		N/A
co.cask.tephra	tephra-distribution	0.7.1		N/A
com.atlassian.clover	clover	4.0.0		f06272b8582ec19eb3689031df5966209c9051db
com.atlassian.clover	clover	4.0.1		a81880f491d573d8056e2e76872dc09e6cbb2b8e
com.atlassian.clover	clover	4.0.2		3bb4470a72bb4719895e001964d29de2f36ebd38
com.atlassian.clover	clover	4.0.3		6c6a6aab771a1236d25ff5d467f66020b8f604f2
com.atlassian.clover	clover	4.0.4		2ae612c06bfc641f5a4cb15654b4f0398a1b8b5e
com.atlassian.clover	clover	4.0.5		1f5108dfe4e613f2b4a9f5de5c6aa6f4f9fc4042
com.atlassian.clover	clover	4.0.6		35ad9af1b6be6a4a77370dbfb00b4e039159ce18
com.atlassian.clover	clover	4.1.0		fd28677835a56e5604698ad71aed553aec965e2f
com.atlassian.clover	clover	4.1.1		26f74a1fcaf03d231be3ed89df0b28d6e0df8d84
com.atlassian.clover	clover	4.1.10		d4bc8e5102c9a7321bd4418ed24973489a8b248b
com.atlassian.clover	clover	4.1.2		0d2e173793aa2f651000ab6744cefd10e5a75ac9
com.clovellytech	tsec-cipher-bouncy_2.12	0.2.0.2		7cac5b2121aecff4e52fc33080ef8c70003d848f
com.clovellytech	tsec-cipher-bouncy_2.12	0.2.0.3		a7a5e80c6858a79e918fdf3fae91f407f29fc082
com.clovellytech	tsec-cipher-bouncy_2.12	0.2.1-ct-2		779cbba4dc53c556ee2d7b72c11c3d25eb311b06
com.cyberark.conjur.api	conjur-api	3.0.1		e0ba7d625aa1f71d6cbaae2303560cc25165a6e4
com.cyberark.conjur.api	conjur-api	3.0.1	with-dependencies	4ccc06414c5281b92b60fa1270c47081f4422e37
com.cyberark.conjur.api	conjur-api	3.0.2		8cc3cfce9fff4aa462518bb1bec92be6478bd92f
com.cyberark.conjur.api	conjur-api	3.0.2	with-dependencies	7c7400277dded1a7669a9934744a07a8d023b3ff
com.cyberark.conjur.api	conjur-api	3.0.3		b9a8cc4bcccaf1ac5535376c17a74fd023f7393e
com.cyberark.conjur.api	conjur-api	3.0.3	with-dependencies	918e43705f8bba142b0d0dc3c950fb6b7cf621e9
com.cyberark.conjur.api	conjur-api	3.0.4		6eeb866f760aeb0c707b24666063e0c4e6fc2f52
com.cyberark.conjur.api	conjur-api	3.0.4	with-dependencies	3cbe89154009c10267ce0648f1202fb21b466785
com.cyberark.conjur.api	conjur-api	3.0.4.1		85349b3054447eb5493d8721b1cb7dffb51d815a
com.cyberark.conjur.api	conjur-api	3.0.4.1	with-dependencies	8ddbcc80e59ead6f65b9631898e611ac9fbd17ec
com.cyberark.conjur.api	conjur-api	3.0.5		60e3b5351dc293264f5b06dc760f6c989f115e82
com.cyberark.conjur.api	conjur-api	3.0.5	with-dependencies	719f528f065062a1808d5e1a40819720b1a053c2
com.cyberark.conjur.api	conjur-api	3.0.6		560d913cda650986188991914fb7fd3953b8c159
com.cyberark.conjur.api	conjur-api	3.0.6	with-dependencies	18c853498c3f97586f965064f1415e3744c68369
com.envimate	mapmate	1.0		f98f36ab36482bbc20eb4a30af1a4a36145f6ecf
com.envimate	mapmate	1.1		548c4e7a6cbc408938488d8877cc4572d923f3f9
com.envimate	mapmate	1.3.0		92bc2e0004b5639be1cfe0558068c6f943e171f6
com.envimate	mapmate	1.3.1		55f8777a72775cc705c2696d0266e732cfc44180
com.envimate	mapmate	1.3.2		56f70968392ad5bc676c73e49ac23e0609474137
com.envimate	mapmate	1.4.0		3f75d44ad076ef0fbc79e69db689f158e05666f4
com.envimate	mapmate	1.5.0		a75c9c4ef27adb9fc4b3a10a4ba6c6faf0a3cacc
com.envimate	mapmate	1.5.1		f08008d305b47da0780d3fb4c2b5a3e21f4b3032
com.envimate	mapmate	1.5.2		0358ced1a52cc208a4af70d863cec6d8610e90a3
com.envimate	mapmate	1.5.3		0446f445433b259094114f8b78f15ae21726a2d5
com.envimate	mapmate	1.6.0		9bc4991038711b964c22d224fe6edf73995b7d6d
com.envimate	mapmate	1.6.1		eed0482e76d5b7377511a7d42f2fe02c4b65cd43
com.envimate	mapmate	1.6.2		c94126b07ef4fc9dc2321c4455fdccca657a9a92
com.envimate	mapmate	1.6.3		f31a082fe2ad7040f5e053acd66319ab4a115150
com.envimate	mapmate	1.6.6		c3d7d8e7eb4cd43b45cfc04918b4d759475a4a4b
com.envimate	mapmate	1.6.8		aa3913f092374de7f13b30ed4849b36e09af1d89
com.fizzed	fizzed-play-module-sprockets_2.11	1.2.0		b2b557e252dcc13f67695dd13e1c309445125581
com.gitee.zodiacstack	zodiac-easyexcel	1.5.13		3a1071b4f7226fc7b4fe26936b5a4876d69c8cec
com.gitee.zodiacstack	zodiac-easyexcel	1.5.14		ea3d0e47460e5964c88491c6b6c6196bb43d7fdb
com.gitee.zodiacstack	zodiac-easyexcel	1.5.15		43211186c963cdfe9b707a906eae60e2e616cfd2
