ai.h2o	xgboost4j-linux-gpuv4	0.7.12		a4c6a71cf9aeb689972b8df73cb36a85cc795bee
ai.h2o	xgboost4j-linux-gpuv4	0.7.13		d54b53b401b9e4f7f086058cfdca2f9255071b36
ai.h2o	xgboost4j-linux-gpuv4	0.7.15		2b7bda8bc31cf0fd10f5e003f407b59f0f050b8a
ai.h2o	xgboost4j-linux-gpuv4	0.7.2		0627df552bab0b66f22ec083c43789df5afe29a5
ai.h2o	xgboost4j-linux-gpuv4	0.7.3		1b6834eafd8e6a61543b2d3eacaa7e250ba62e0f
ai.h2o	xgboost4j-linux-gpuv4	0.7.4		e576a9c3a09779d903b59e496f2606bf7864cf0d
ai.h2o	xgboost4j-linux-gpuv4	0.7.6		ef577a1f47cc0a7d37cdf3b8df3603fbe5802b3e
ai.h2o	xgboost4j-linux-gpuv4	0.7.7		d402820f0d87b4ae18d7755268a94ac37fa2d9cc
ai.h2o	xgboost4j-linux-gpuv4	0.7.8		cc754ea2546bcfd656af6f96d3ee14de0622cc4d
ai.h2o	xgboost4j-linux-gpuv4	0.7.9		836b88b2f47e71337808483fe6f52f6deda06585
ai.h2o	xgboost4j-linux-gpuv4	0.82.18		891bf2454c987117e3295667c8e3d30abc54ff2c
ai.h2o	xgboost4j-linux-gpuv4	0.82.19		c7a22f278cedfc561b0986fd0b227175a11a9bef
ai.h2o	xgboost4j-linux-gpuv4	0.82.20		bd136d281e547df88e624a3b456796f35853dc0d
ai.h2o	xgboost4j-linux-gpuv4	0.82.21		eba194d86d98433fea9e47dcf6bea574b12ce25f
ai.h2o	xgboost4j-linux-gpuv4	0.83.17		0e6543fb3f8897322e82ebbd5a58acef18f90266
ai.h2o	xgboost4j-linux-gpuv4	0.90.3		ca578e4a83df4e6d09c1d1a71756bcc70ffbf138
ai.h2o	xgboost4j-linux-gpuv4	0.90.5		40ed20ff507116729de50741df42f8057e10e4c9
ai.h2o	xgboost4j-linux-gpuv4	0.90.6		9ee2749cd8795addb519448f0343842383fb7b41
ai.h2o	xgboost4j-linux-gpuv4	1.0.0.11		f76676ad727959d40ef5ce5e3b83aab8341c9574
ai.h2o	xgboost4j-linux-gpuv4	1.0.0.9		43c955d7e220ff687b34fefbfc0416077db9b6fb
