activesoap	xercesImpl	1.5	-	73a51faadb407dccdbd77234e0d5a0a648665692
ai.djl	djl-zero	0.20.0	-	1f354a2603cdd3e4b252dd52e02034b1a9fd62a3
ai.djl	djl-zero	0.21.0	-	c075e6c798fc0f2f07f42418af90d0a34b13d46f
ai.djl	djl-zero	0.22.0	-	58ef40e961d38bbcda4935e326c5239912eec71a
ai.djl	djl-zero	0.22.1	-	fd0dd300c7bbcf73da6e21fd7b8ff713b8e33b51
ai.djl	djl-zero	0.23.0	-	050fb8201e609083c8025c217993ef088d490679
ai.djl	djl-zero	0.24.0	-	64b2dc4a685bafa2175d1460e1a3d0c79aa27d96
ai.djl	djl-zero	0.25.0	-	194c9d2c604a034249601d6cb9a4a904b5ca2d2c
ai.djl	djl-zero	0.26.0	-	e340c49a1b4e76439a2c6ce3f51f3d2824833283
ai.djl	djl-zero	0.27.0	-	8b04fe9e338e0e0404322ff80692143bffb9c05d
ai.djl	djl-zero	0.28.0	-	0e7a83f9967d345bc6dd7ae5a76c6c5e6e2062f5
ai.djl	djl-zero	0.29.0	-	60c0f01de3be78ea5fff1eff464fca384d7548fb
ai.djl	djl-zero	0.30.0	-	931a60b891b2364e76823bdb2919a7526ab6bcfd
ai.djl	djl-zero	0.31.0	-	cde1346e59da67290089dd05d9836fc114725161
ai.djl	djl-zero	0.31.1	-	c1e3344ca10a039a011c4f3afdbe11304b77a5c0
ai.djl	djl-zero	0.32.0	-	3a42afa761e55ec6f3985f208eb37d064a22a8a2
ai.kognition.pilecv4j	native-image-linux-aarch64	1.0	1.0-bin	760fbce33b8eb948048c56542771ca98b3d79a6b
app.cash.paging	paging-compose-common-jvm	3.2.0-alpha04-0.2.0	-	1ccba6a474b1c6c28b27ac2618c307d83c3ae909
app.cash.paging	paging-compose-common-jvm	3.2.0-alpha04-0.2.1	-	1ccba6a474b1c6c28b27ac2618c307d83c3ae909
app.cash.paging	paging-compose-common-jvm	3.2.0-alpha05-0.2.1	-	be51b64a991bd253d90f5dcf5b9640da074e382c
app.cash.paging	paging-compose-common-jvm	3.2.0-alpha05-0.2.2	-	87870f629baff60334c9a2b403d9f34405e821b2
app.cash.paging	paging-compose-common-jvm	3.2.0-alpha05-0.2.3	-	87870f629baff60334c9a2b403d9f34405e821b2
app.cash.paging	paging-compose-common-jvm	3.3.0-alpha02-0.4.0	-	c4b3974e8f0e89c62b4d8a47973c79ad2bb52296
app.cash.paging	paging-compose-common-jvm	3.3.0-alpha02-0.5.0	-	8169c8826a9c9fcfe71cb1e451aa4fa57c476000
app.cash.paging	paging-compose-common-jvm	3.3.0-alpha02-0.5.1	-	8169c8826a9c9fcfe71cb1e451aa4fa57c476000
app.cybrid	cybrid-api-organization-java	v0.10.0	-	17c2e00cff878d5461618c5d16fe7762e1dce676
app.cybrid	cybrid-api-organization-java	v0.10.1	-	b6929e9201f39ff9b5d84d8cbc485548df985f18
app.cybrid	cybrid-api-organization-java	v0.100.0	-	12dcd20b502bf14fbe536391345f93ebd6c939eb
app.cybrid	cybrid-api-organization-java	v0.101.0	-	7d3e44ee3ba03b11d3a07eda16e1bc33702ba3d6
app.cybrid	cybrid-api-organization-java	v0.102.0	-	83c77ce9321473732423cacf7356426f0eebce3a
app.cybrid	cybrid-api-organization-java	v0.103.0	-	61d823f3c31b424b4d510bd2bd6816ab44a6ea13
app.cybrid	cybrid-api-organization-java	v0.103.1	-	854525884ac1e2b436ddd0714a519bfcf974d264
app.cybrid	cybrid-api-organization-java	v0.104.0	-	f84aaa0b31e225dbf5b58d1eac612a905fd1bc0f
app.cybrid	cybrid-api-organization-java	v0.104.1	-	23f34b2f041f522d64fbcbbf41149c7872dd806f
app.cybrid	cybrid-api-organization-java	v0.104.2	-	a13e9fcd706c89e49f3c73f84824e61b628833bd
app.cybrid	cybrid-api-organization-java	v0.105.0	-	f43eceee9b2b30afa4a3c7f30c653154ea14033a
app.cybrid	cybrid-api-organization-java	v0.106.0	-	57d74aa37dc7a20da7daad512f86e18842ee50d5
app.cybrid	cybrid-api-organization-java	v0.106.1	-	eaf0e589711c83296a74ce3a0599658aa7685a93
app.cybrid	cybrid-api-organization-java	v0.106.2	-	b43fc99372ff532119056804422eac85fac372ef
app.cybrid	cybrid-api-organization-java	v0.106.3	-	1344d489d12c488e095f19cb8e648457b65654fc
app.cybrid	cybrid-api-organization-java	v0.106.4	-	f4136b38b6ca6313c1b977a28c7d862c43e16da2
app.cybrid	cybrid-api-organization-java	v0.106.5	-	ee09f131c0d4a26d1863203f55f2795912181a64
app.cybrid	cybrid-api-organization-java	v0.106.6	-	41068ff8e0aae0808493a63b101975d89b397a58
app.cybrid	cybrid-api-organization-java	v0.106.7	-	4b049f87e084344ce265a3df6969351d785243cd
app.cybrid	cybrid-api-organization-java	v0.106.8	-	629141554fdb4986684fee7a24a8c05d9eb2ea5e
app.cybrid	cybrid-api-organization-java	v0.107.2	-	a4700a4b6016ef54292a74ffcfbbc03bb70cb330
app.cybrid	cybrid-api-organization-java	v0.108.0	-	d63445b8b3612d150aff5972ac4fa370355b861c
app.cybrid	cybrid-api-organization-java	v0.108.1	-	cf3d382a245a9c0f95312bda076db94f534401c9
app.cybrid	cybrid-api-organization-java	v0.108.2	-	53b1bd425fc466286205ecbffc169ec7bf6bfed3
app.cybrid	cybrid-api-organization-java	v0.109.0	-	de84936fca8a71b32c896e99366f4e452b4aa001
app.cybrid	cybrid-api-organization-java	v0.109.1	-	f0394b5b5ce8663ca4ccd7e7e69e461c0a97d354
app.cybrid	cybrid-api-organization-java	v0.109.10	-	771dfbc5d5a9af63602dc602317c5cf9a89d99df
app.cybrid	cybrid-api-organization-java	v0.109.11	-	97cd2b659c50793e508cc41a2be8acb7691ed1f7
app.cybrid	cybrid-api-organization-java	v0.109.15	-	5e5d44e370005e37f784fa75629bb2c60c8c060c
app.cybrid	cybrid-api-organization-java	v0.109.16	-	a489c4dbfb0128672b9e9c1875e03ca196f2d036
app.cybrid	cybrid-api-organization-java	v0.109.17	-	da1f3b8637cb0a9a41048fdd8b3741a0c25372ab
app.cybrid	cybrid-api-organization-java	v0.109.19	-	f86d44e4396edeb82b432159c00c27141ff1676f
app.cybrid	cybrid-api-organization-java	v0.109.2	-	9050ea427cffe9364fe1ec35bc2ecd5c58bee03e
